"","Condition","condition","4","8"
"5HTR","Condition","5HTR",0.130779253768666,-0.0778769441340526
"ADF/Cofilin","Condition","ADF/Cofilin",-0.414276949894764,0.191297156904973
"Arhgef8","Condition","Arhgef8",0.754840392984836,-0.669673276813414
"BMP","Condition","BMP",-0.331164226543067,0.157159943216917
"Col9a1","Condition","Col9a1",-2.77549945494378,0.56669987703849
"Daam","Condition","Daam",-0.401899605041954,0.185191078748245
"Ddr","Condition","Ddr",-2.98939410756249,0.578936814262025
"Depdc","Condition","Depdc",1.02276297956459,-0.992647032108625
"Dync2h","Condition","Dync2h",-0.801124154424079,0.311959994867054
"EPB4.1","Condition","EPB4.1",-Inf,0.643261141285823
"Eph","Condition","Eph",0.119304458407938,-0.0702868446484997
"Ets","Condition","Ets",-0.442880176704524,0.202645661150452
"Farp","Condition","Farp",0.318476838200531,-0.210514854422048
"Fgfr","Condition","Fgfr",0.304795237004816,-0.197229473139883
"Foxf","Condition","Foxf",0.595686636028505,-0.458651610977797
"FZD","Condition","FZD",-0.554672892693436,0.238960109896191
"Gata","Condition","Gata",0.248557031617735,-0.157172725434881
"Gna-L/S","Condition","Gna-L/S",-1.97980610924657,0.515498955581624
"Gna12/13","Condition","Gna12/13",-0.000162548030242324,9.03123754332083e-05
"NDE","Condition","NDE",-1.16056169228161,0.391352480839024
"Paxillin","Condition","Paxillin",-0.104144926803504,0.0550344935979339
"Rab5","Condition","Rab5",-3.28060899996451,0.603553384157837
"Rabep","Condition","Rabep",-1.10731302414263,0.378734450505835
"Rho","Condition","Rho",0.199233864973039,-0.122578066216778
"Rock","Condition","Rock",-2.33989939485634,0.540596359383599
"Tol","Condition","Tol",-1.04908850309093,0.37238207451141
"Tyrosinase","Condition","Tyrosinase",0.346962969478011,-0.227161487110116
