"","Condition","condition","8","11"
"1","Condition","5HTR",0.00531020421582716,0.0147656950169628
"2","Condition","ADF/Cofilin",0.049987150722065,0.0253631304481587
"3","Condition","Arhgef8",0.00177795755563816,0.00306394967896941
"4","Condition","BMP",0.14299715242168,0.223272357617089
"5","Condition","Col9a1",0.00445990432985303,0.000974968543816033
"6","Condition","Daam",0.135469784739243,0.0855734703882126
"7","Condition","Ddr",0.182084090143837,0.0855734703882126
"8","Condition","Depdc",0.637296745205707,0.568790053106931
"9","Condition","Dync2h",0.996584095956625,0.880796318123465
"10","Condition","EPB4.1",0.0969319494730091,0.0212358153938178
"11","Condition","Eph",0.982318889985461,0.898469135681799
"12","Condition","Ets",0.00106757676543121,0.00122658672724997
"13","Condition","Farp",0.635431793005533,0.835681923312126
"14","Condition","Fgfr",2.42606232642151e-05,6.94475821485721e-05
"15","Condition","Foxf",0.00531020421582716,0.00306394967896941
"16","Condition","FZD",0.736181012635433,0.896750754559699
"17","Condition","Gata",0.107165293930184,0.144600731394893
"18","Condition","Gna-L/S",0.770313995255115,0.898469135681799
"19","Condition","Gna12/13",0.63871757941347,0.836622304596578
"20","Condition","NDE",0.276467401501607,0.144600731394893
"21","Condition","Paxillin",0.107165293930184,0.0728970007702653
"22","Condition","Rab5",0.0177369670797687,0.00815082820024521
"23","Condition","Rabep",0.635431793005533,0.34878295986011
"24","Condition","Rho",0.107165293930184,0.144600731394893
"25","Condition","Rock",0.00296923316886722,0.000974968543816033
"26","Condition","Tol",0.635431793005533,0.835681923312126
"27","Condition","Tyrosinase",0.870997902684869,0.835681923312126
