"","Condition","condition","1","9"
"5HTR","Condition","5HTR",-0.758822452643998,0.264970043477765
"ADF/Cofilin","Condition","ADF/Cofilin",0.411474632380079,-0.244957273686417
"Arhgef8","Condition","Arhgef8",-0.695623951536385,0.249595668573734
"BMP","Condition","BMP",0.203640127499884,-0.109676032776733
"Col9a1","Condition","Col9a1",-1.05876629313836,0.327512213159064
"Daam","Condition","Daam",0.495664102102026,-0.313018323955703
"Ddr","Condition","Ddr",-1.27266094575706,0.365108752307019
"Depdc","Condition","Depdc",0.402319960960438,-0.233757339865302
"Dync2h","Condition","Dync2h",0.355123264258385,-0.207704971052188
"EPB4.1","Condition","EPB4.1",-1.09389035521179,0.333280899702909
"Eph","Condition","Eph",0.0437006237200816,-0.0216802093115779
"Ets","Condition","Ets",0.920906656378788,-0.738478998975191
"Farp","Condition","Farp",-0.515843115262829,0.199170651551268
"Fgfr","Condition","Fgfr",-0.155300429497041,0.0705216713075645
"Foxf","Condition","Foxf",0.203893640055139,-0.109229909436776
"FZD","Condition","FZD",0.313537234751023,-0.179049071402124
"Gata","Condition","Gata",-0.964989334532818,0.315548510716598
"Gna-L/S","Condition","Gna-L/S",-0.453976672415946,0.179934770619179
"Gna12/13","Condition","Gna12/13",0.203640127499884,-0.109676032776733
"NDE","Condition","NDE",-1.35716097736514,0.379654951876306
"Paxillin","Condition","Paxillin",0.0283053692201456,-0.0139471178319255
"Rab5","Condition","Rab5",-1.33397928930478,0.37979281577758
"Rabep","Condition","Rabep",-0.56250764989346,0.211294712453117
"Rho","Condition","Rho",-0.349319055886852,0.145422945021337
"Rock","Condition","Rock",-1.62537726036627,0.415474988394441
"Tol","Condition","Tol",0.66306316621179,-0.466364474565776
"Tyrosinase","Condition","Tyrosinase",-0.715696200299603,0.263421955667198
