"","Condition","condition","1","9"
"1","Condition","5HTR",0.0801912275439949,0.186310357798121
"2","Condition","ADF/Cofilin",0.0801912275439949,0.0584652642106085
"3","Condition","Arhgef8",0.0801912275439949,0.180636156863213
"4","Condition","BMP",0.564212501519505,0.418283526763959
"5","Condition","Col9a1",0.102821777007711,0.273163387287436
"6","Condition","Daam",0.0801912275439949,0.0584652642106085
"7","Condition","Ddr",0.0630512788301621,0.180636156863213
"8","Condition","Depdc",0.030861446316798,0.0251532918482027
"9","Condition","Dync2h",0.298261500658455,0.249722249439374
"10","Condition","EPB4.1",0.150822877860777,0.381425063931923
"11","Condition","Eph",0.946612665962917,0.771418065019203
"12","Condition","Ets",1.4871950657649e-07,4.5617286183406e-08
"13","Condition","Farp",0.153902532580496,0.273163387287436
"14","Condition","Fgfr",0.468591317166363,0.567836396742832
"15","Condition","Foxf",0.446637652710098,0.3525966705426
"16","Condition","FZD",0.347483713294997,0.273163387287436
"17","Condition","Gata",0.00769592111730259,0.0160688800601171
"18","Condition","Gna-L/S",0.193399621658247,0.317256147814454
"19","Condition","Gna12/13",0.564212501519505,0.418283526763959
"20","Condition","NDE",0.0229296811943735,0.0584652642106085
"21","Condition","Paxillin",0.989519435059275,0.79920732789798
"22","Condition","Rab5",0.00464614059889583,0.0160688800601171
"23","Condition","Rabep",0.298261500658455,0.555893365477065
"24","Condition","Rho",0.212303558778158,0.317256147814454
"25","Condition","Rock",0.0160286181306385,0.0537533024893966
"26","Condition","Tol",0.0229296811943735,0.0160688800601171
"27","Condition","Tyrosinase",0.00388793156340623,0.00802015119166906
